id,CycloneName,Year,PortList,Condition,ConditionEffectiveTime,VesselOps,OceanVesselOps,FacilityOps
1,RAFAEL,2024,"Tampa, Manatee, StPetersburg",WHISKEY,11/4/2024 11:00,Vessels wishing to remain in port must obtain Captain-of-the-Port approval and submit a written safe-mooring plan; vessels unable to offload and depart within 24 hours of threatening winds should divert to an alternate port.,Vessels wishing to remain in port must obtain Captain-of-the-Port approval and submit a written safe-mooring plan; vessels unable to offload and depart within 24 hours of threatening winds should divert to an alternate port.,Ports and facilities remain open to all commercial traffic and cargo transfer operations may continue while Condition WHISKEY is in effect.
2,RAFAEL,2024,KeyWest,X-RAY,11/4/2024 5:00,Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to offload and depart within 24 h of threatening winds should divert to an alternate port.,Vessels wishing to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to offload and depart within 24 h of threatening winds should divert to an alternate port.,Ports and facilities remain open to all commercial traffic and may continue cargo transfer operations while Condition X-Ray is in effect.
3,MILTON,2024,"Tampa, Manatee, StPetersburg, Charlotte",ZULU,10/8/2024 0:00,No vessels may enter or transit the port without Captain of the Port permission; all vessel movements are prohibited.,No vessels may enter or transit the port without Captain of the Port permission; all vessel movements are prohibited.,"All waterfront operations are suspended; facility storm preparations should be complete, with only final safety actions allowed under COTP approval."
4,MILTON,2024,"KeyWest, Marathon, StockIsland",ZULU,10/7/2024 22:00,No vessels may enter or transit within the ports without permission of the Captain of the Port; all vessel movements are prohibited.,No vessels may enter or transit within the ports without permission of the Captain of the Port; all vessel movements are prohibited.,All waterfront operations are suspended and facility storm preparations should be complete; only final safety preparations authorized by the Captain of the Port may continue.
5,MILTON,2024,"Miami, Everglades, PalmBeach, Canaveral, Pierce",YANKEE,10/7/2024 22:00,"All vessels, including barges and pleasure craft, must plan to depart the port as early as possible; there are no safe havens in the port and vessel inventory should be kept to a minimum. Secure or remove EPIRBs from any vessel left ashore to prevent false alerts.","All vessels, including barges and pleasure craft, must plan to depart the port as early as possible; there are no safe havens in the port and vessel inventory should be kept to a minimum. Secure or remove EPIRBs from any vessel left ashore to prevent false alerts.","Ports and waterfront facilities should minimize the number of vessels in port, monitor storm conditions, and ensure the port area is cleared of non-essential traffic in preparation for sustained tropical-storm-force winds expected within 24 hours."
6,MILTON,2024,"Tampa, StPetersburg, Manatee",YANKEE,10/7/2024 13:00,"Mariners are reminded there are no safe havens in these facilities; all vessels, barges, and pleasure craft should plan to depart the port early to avoid bridge closures, and the inventory of vessels in port should be kept to a minimum.","Mariners are reminded there are no safe havens in these facilities; all vessels, barges, and pleasure craft should plan to depart the port early to avoid bridge closures, and the inventory of vessels in port should be kept to a minimum.","Ports and terminal operators should reduce alongside vessel numbers, ensure no vessels seek safe haven, secure equipment and cargo, monitor Coast Guard Homeport for updates, and prepare for storm surge and coastal flooding."
7,MILTON,2024,"KeyWest, Marathon",YANKEE,10/7/2024 6:00,"Mariners are reminded there are no safe havens; all vessels, barges and pleasure craft should make plans to depart the port early to avoid bridge closures and should disable EPIRB devices if already moored or out of the water.","Mariners are reminded there are no safe havens; all vessels, barges and pleasure craft should make plans to depart the port early to avoid bridge closures and should disable EPIRB devices if already moored or out of the water.","Ports and waterfront facilities should minimize the number of vessels in port, recognize that the port offers no safe haven, and continue to monitor Coast Guard Homeport for further directives."
8,MILTON,2024,Miami,X-RAY,10/6/2024 10:00,"Vessels that wish to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels bound for South Carolina, Georgia or Florida that cannot safely off-load and depart within 24 hours of threatening winds should divert to an alternate port.","Vessels that wish to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels bound for South Carolina, Georgia or Florida that cannot safely off-load and depart within 24 hours of threatening winds should divert to an alternate port.",Ports and facilities remain open to all commercial traffic and all transfer operations may continue while Port Condition X-RAY is in effect.
9,MILTON,2024,"Tampa, StPetersburg, Manatee, Clearwater",X-RAY,10/6/2024 9:00,Vessels wishing to remain in port must obtain Captain-of-the-Port permission and submit a written safe-mooring plan.,Vessels wishing to remain in port must obtain Captain-of-the-Port permission and submit a written safe-mooring plan.,Ports and facilities remain open to all commercial traffic and transfer operations may continue while Condition X-Ray is in effect.
10,MILTON,2024,Miami,WHISKEY,10/6/2024 3:00,Vessels that wish to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to offload and depart within 24 hours of threatening winds should divert to an alternate port.,Vessels that wish to remain in port must request permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to offload and depart within 24 hours of threatening winds should divert to an alternate port.,"Ports and facilities are open to all commercial traffic, and all transfer operations may continue while Port Condition WHISKEY is in effect."
11,MILTON,2024,KeyWest,X-RAY,10/6/2024 1:00,Vessels wishing to remain in port must obtain permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to offload and depart within 24 hours of threatening winds should divert to an alternate port.,Vessels wishing to remain in port must obtain permission from the Captain of the Port and submit a written safe-mooring plan; vessels unable to offload and depart within 24 hours of threatening winds should divert to an alternate port.,Ports and facilities are open to all commercial traffic and transfer operations may continue while Port Condition X-Ray is in effect.
12,MILTON,2024,"Tampa, Manatee, Petersburg",WHISKEY,10/6/2024 0:00,Vessels wishing to remain in port must obtain Captain-of-the-Port permission and submit a written safe-mooring plan; vessels unable to offload and depart within 24 h of threatening winds should divert to an alternate port.,Vessels wishing to remain in port must obtain Captain-of-the-Port permission and submit a written safe-mooring plan; vessels unable to offload and depart within 24 h of threatening winds should divert to an alternate port.,Ports and facilities stay open to all commercial traffic and may continue all transfer operations while Condition WHISKEY is in effect.
13,MILTON,2024,KeyWest,WHISKEY,10/5/2024 12:00,Vessels wishing to remain in port must obtain Captain of the Port permission and submit a written safe-mooring plan; vessels unable to safely offload and depart within 24 hours of threatening winds should seek an alternate port.,Vessels wishing to remain in port must obtain Captain of the Port permission and submit a written safe-mooring plan; vessels unable to safely offload and depart within 24 hours of threatening winds should seek an alternate port.,Ports and facilities remain open to all commercial traffic and all transfer operations may continue while Condition WHISKEY is in effect.
17,HELENE,2024,"Jacksonville, Fernandina, Canaveral",ZULU,9/25/2024 23:00,No vessels may enter or transit the ports without Captain-of-the-Port permission and all vessel movements are prohibited; mariners advised that ports are not safe havens and should keep vessel inventory at a minimum.,No vessels may enter or transit the ports without Captain-of-the-Port permission and all vessel movements are prohibited; mariners advised that ports are not safe havens and should keep vessel inventory at a minimum.,Facility preparations should already be complete; all waterfront operations are suspended except final safety actions authorized by the Captain of the Port.
18,HELENE,2024,"Tampa, Manatee, StPetersburg",ZULU,9/25/2024 12:00,No vessels may enter or transit the port without Captain of the Port permission; all vessel movements are prohibited.,No vessels may enter or transit the port without Captain of the Port permission; all vessel movements are prohibited.,All waterfront operations are suspended except final safety preparations authorized by the Captain of the Port; facility preparations should be complete and ports should minimize the number of vessels alongside.
19,HELENE,2024,"Savannah, Brunswick",YANKEE,9/25/2024 8:00,"Mariners are advised there are no safe havens in port; all vessels, barges and pleasure craft should plan to depart the port early and any vessel unable to off-load and depart at least 8 hours before threatening winds must seek an alternate port.","Mariners are advised there are no safe havens in port; all vessels, barges and pleasure craft should plan to depart the port early and any vessel unable to off-load and depart at least 8 hours before threatening winds must seek an alternate port.","Ports and waterfront facilities should keep the inventory of vessels at a minimum, implement hurricane preparedness actions, and monitor Coast Guard updates as sustained gale-force winds are possible within 24 hours."
